name,tagline,date,location,promoter,eventId,card_rank,weightclass,weight,num_rounds,type,winner,red_fname,red_lname,red_nickname,red_wins,red_losses,red_draws,red_no_contest,red_ranking,blue_fname,blue_lname,blue_nickname,blue_wins,blue_losses,blue_draws,blue_no_contest,blue_ranking
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,1,Middleweight,185,5,MMA,,Israel,Adesanya,Stylebender,18,0,0,0,C,Yoel,Romero,Soldier of God,13,4,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,2,Strawweight,115,5,MMA,,Weili,Zhang,,20,1,0,0,C,Joanna,Jedrzejczyk,,16,3,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,3,Middleweight,185,3,MMA,,Derek,Brunson,,20,7,0,0,,Edmen,Shahbazyan,,11,0,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,4,Welterweight,170,3,MMA,,Neil,Magny,,21,7,0,0,,Li,Jingliang,,17,5,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,5,Bantamweight,135,3,MMA,,Sean,O'Malley,,10,0,0,0,,Jose,Quinonez,,8,3,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,6,Middleweight,185,3,MMA,,Rodolfo,Vieira,,6,0,0,0,,Saparbek,Safarov,,9,2,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,7,Lightweight,155,3,MMA,,Mark,Madsen,,9,0,0,0,,Austin,Hubbard,,11,3,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,8,Lightweight,155,3,MMA,,Beneil,Dariush,,17,4,1,,,Drakkar,Klose,,11,1,1,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,9,Welterweight,170,3,MMA,,Alex,Oliveira,,19,8,1,2,,Max,Griffin,,15,7,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,10,Middleweight,185,3,MMA,,Gerald,Meerschaert,,29,12,0,0,,Deron,Winn,,6,1,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,11,Strawweight,115,3,MMA,,Emily,Whitmire,,4,3,0,0,,Polyana,Viana,,10,4,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,12,Featherweight,145,3,MMA,,Douglas,Silva de Andrade,,26,3,0,1,,Movsar,Evloev,,12,0,0,0,
UFC 248,Adesanya-Romero,3/7/2019 7:00:00PM,"T-Mobile Arena, Las Vegas, NV",UFC,,13,Bantamweight,135,3,MMA,,Danaa,Batgerel,,6,2,0,0,,Guido,Cannetti,,8,4,0,0,
