name,tagline,date,location,promoter,eventId,card_rank,weightclass,weight,num_rounds,type,winner,red_fname,red_lname,red_nickname,red_wins,red_losses,red_draws,red_no_contest,red_ranking,blue_fname,blue_lname,blue_nickname,blue_wins,blue_losses,blue_draws,blue_no_contest,blue_ranking
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,1,Flyweight,125,5,MMA,,Joseph,Benavidez,,28,5,0,0,,Deiveson,Figueiredo,,17,1,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,2,Featherweight,145,3,MMA,,Felicia,Spencer,,7,1,0,0,,Zarah,Fairn dos Santos,,6,3,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,3,Light Heavyweight,205,3,MMA,,Ion,Cutelaba,,15,4,0,1,,Magomed,Ankalaev,,12,1,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,4,Featherweight,145,3,MMA,,Megan,Anderson,,10,4,0,0,,Norma,Dumont,,4,0,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,5,Featherweight,145,3,MMA,,Chas,Skelly,,18,4,0,0,,Grant,Dawson,,14,1,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,6,Bantamweight,135,3,MMA,,Gabriel,Silva,,8,1,0,0,,Kyler,Phillips,,6,1,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,7,Featherweight,145,3,MMA,,Mike,Davis,,7,2,0,0,,Giga,Chikadze,,8,1,1,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,8,Middleweight,185,3,MMA,,Brendan,Allen,,13,3,0,0,,Tom,Breese,,11,1,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,9,Lightweight,155,3,MMA,,Luis,Pena,,7,2,0,0,,Alex,Munoz,,5,0,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,10,Heavyweight,265,3,MMA,,Marcin,Tybura,,17,6,0,0,,Sergey,Spivak,,10,1,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,11,Featherweight,145,3,MMA,,Jordan,Griffin,,17,7,0,0,,TJ,Brown,,14,6,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,12,Featherweight,145,3,MMA,,Aalon,Cruz,,6,2,0,0,,Spike,Carlyle,,8,1,0,0,
UFC Fight Night 169,Benavidez-Figueiredo,2/29/2020 5:00PM,"Chartway Arena - Norfolk, VA",UFC,,13,Welterweight,170,3,MMA,,Sean,Brady,,11,0,0,0,,Ismail,Naurdiev,,19,3,0,0,
